m2_dpo.owl,m1_nbo.owl,m1_dpo.owl,m2_nbo.owl,definition,m2_union,definition_name,m1_union,
,1,,1,"sensation behavior
 and (is_about some PATO_0000040)",2,http://ebi.ac.uk#Pattern729,1,
,,,2,"BFO_0000056 some 
    (Thing
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))",3,http://ebi.ac.uk#Pattern728,0,
1,,1,,"dependent continuant
 and (inheres_in some jump response)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern727,1,
3,,,,"quality
 and (inheres_in some chemosensory behavior)
 and (qualifier some Thing)",4,http://ebi.ac.uk#Pattern969,0,
1,,1,,"dependent continuant
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern726,1,
,1,,1,"BFO_0000056 some 
    (GO_0042747
     and (has_quality some rate))",2,http://ebi.ac.uk#Pattern968,1,
24,,24,,"quality
 and (inheres_in some 
    (behavior or (behavior
     and (part_of some behavior))))
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern725,1,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some GO_0050965)",2,http://ebi.ac.uk#Pattern967,1,
,,,13,"BFO_0000056 some 
    (locomotory behavior
     and (has_quality some Thing))",14,http://ebi.ac.uk#Pattern724,0,
,1,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (PATO_0000145
         and (has_quality some increased object quality))))",2,http://ebi.ac.uk#Pattern966,1,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased rate
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern723,1,
,,,35,"BFO_0000056 some 
    (kinesthetic behavior
     and (has_quality some Thing))",36,http://ebi.ac.uk#Pattern965,0,
,,,1,"BFO_0000056 some 
    (vocalization behavior
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern722,0,
,1,,1,"consumption behavior
 and (has_participant some CHEBI_27958)",2,http://ebi.ac.uk#Pattern964,1,
2,,,,"Thing
 and (inheres_in some 
    (courtship behavior or (behavior
     and (part_of some courtship behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern721,0,
,,,1,"Thing
 and (has_participant some CHEBI_17303)",2,http://ebi.ac.uk#Pattern963,0,
,,,2,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (decreased frequency
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern720,0,
,,,6,"associative learning behavior
 and (is_about some Thing)",7,http://ebi.ac.uk#Pattern962,0,
,2,,2,"BFO_0000056 some 
    (regulation of feeding behavior
     and (has_quality some 
        (decreased frequency
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern961,1,
,1,,1,"BFO_0000056 some 
    (olfactory behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern960,1,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern739,0,
,3,,3,"BFO_0000056 some 
    (behavioral control of excretion
     and (has_quality some dependent continuant))",4,http://ebi.ac.uk#Pattern738,1,
,,,1,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some PATO_0001309))",2,http://ebi.ac.uk#Pattern737,0,
,,,4,"BFO_0000056 some 
    (sexual activity
     and (has_quality some continuant))",5,http://ebi.ac.uk#Pattern979,0,
,,,1,"has_quality some 
    (PATO_0001727
     and (towards some memory loss behavior))",2,http://ebi.ac.uk#Pattern736,0,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some PATO_0001305)",2,http://ebi.ac.uk#Pattern978,1,
,,,1,"behavior
 and (in_response_to some morphine consumption)",2,http://ebi.ac.uk#Pattern735,0,
,1,,1,"regulation of eating behavior
 and (has_participant some CHEBI_32111)",2,http://ebi.ac.uk#Pattern977,1,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_26456)",2,http://ebi.ac.uk#Pattern734,1,
,2,,2,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (increased rate
         and (towards some feeding behavior))))",3,http://ebi.ac.uk#Pattern976,1,
,,,3,"behavior
 and (in_response_to some GO_0050955)",4,http://ebi.ac.uk#Pattern733,0,
